target,pinyin,meaning,status,mainForm,name,resolutionType,componentOfCount
荧,yíng,le lói; lấp lánh,resolved,火,Bộ Hỏa,record-radical,24
荫,yìn,"biến thể của 蔭|荫[yin4], bóng râm",not-resolved,,,not-resolved,0
药,yào,thuốc,resolved,艸,Bộ Thảo,record-radical,24
荷,Hé,Hà Lan; viết tắt của 荷蘭|荷兰[He2 lan2],resolved,艸,Bộ Thảo,record-radical,24
莫,Mò,họ [Mo4],resolved,艸,Bộ Thảo,record-radical,24
莲,lián,hoa sen,resolved,艸,Bộ Thảo,record-radical,24
获,huò,nhận được,resolved,犬,Bộ Khuyển,record-radical,24
莹,yíng,độ bóng của đá quý,not-resolved,,,not-resolved,0
莺,yīng,"Chim vàng anh, chim oanh",not-resolved,,,not-resolved,0
莽,mǎng,(hình thức kết hợp) cỏ mọc dày; (văn học) mênh mông; bao la,not-resolved,,,not-resolved,0
菇,gū,nấm,resolved,艸,Bộ Thảo,record-radical,24
菊,jú,(hình thức liên kết) hoa cúc,resolved,艸,Bộ Thảo,record-radical,24
菌,jūn,mầm; khuẩn,resolved,艸,Bộ Thảo,record-radical,24
菜,cài,món ăn,resolved,艸,Bộ Thảo,record-radical,24
菠,bō,"cải bó xôi, rau chân vịt",resolved,艸,Bộ Thảo,record-radical,24
菩,pú,Bồ Tát,resolved,艸,Bộ Thảo,record-radical,24
萃,cuì,thu thập; tập hợp,resolved,艸,Bộ Thảo,record-radical,24
萄,táo,dùng trong 葡萄[pu2 tao5],resolved,艸,Bộ Thảo,record-radical,24
萌,méng,"(hình thức kết hợp) nảy mầm; đâm chồi; (khẩu ngữ) dễ thương; đáng yêu (mượn chữ từ tiếng Nhật 萌え ""moe"", sự yêu thích nhân vật anime hoặc manga)",resolved,艸,Bộ Thảo,record-radical,24
萍,píng,bèo nổi,resolved,艸,Bộ Thảo,record-radical,24
萎,wěi,héo; rũ,resolved,艸,Bộ Thảo,record-radical,24
萝,luó,củ cải,resolved,艸,Bộ Thảo,record-radical,24
营,yíng,trại; doanh trại,not-resolved,,,not-resolved,0
萧,Xiāo,họ [Xiao1],not-resolved,,,not-resolved,0
萨,Sà,Bồ Tát; họ [Sa4],resolved,艸,Bộ Thảo,record-radical,24
落,luò,rơi,resolved,艸,Bộ Thảo,record-radical,24
著,zhù,để biết; để cho thấy,resolved,艸,Bộ Thảo,record-radical,24
葡,Pú,Bồ Đào Nha; người Bồ Đào Nha,resolved,艸,Bộ Thảo,record-radical,24
董,Dǒng,họ [Dong3],resolved,艸,Bộ Thảo,record-radical,24
葬,zàng,chôn cất,not-resolved,,,not-resolved,0
葱,cōng,hành lá,resolved,艸,Bộ Thảo,record-radical,24
蒂,dì,cuống (của quả),resolved,艸,Bộ Thảo,record-radical,24
蒙,méng,che phủ,resolved,艸,Bộ Thảo,record-radical,24
蒜,suàn,tỏi,resolved,艸,Bộ Thảo,record-radical,24
蒸,zhēng,hấp,not-resolved,,,not-resolved,0
蓄,xù,"tích trữ, tích lũy; nuôi (tóc, râu)",resolved,艸,Bộ Thảo,record-radical,24
蓝,lán,xanh da trời,resolved,艸,Bộ Thảo,record-radical,24
蓦,mò,nhảy lên hoặc qua; đột nhiên,resolved,馬,Bộ Mã,record-radical,20
蓬,Péng,họ [Peng2],resolved,艸,Bộ Thảo,record-radical,24
蔑,miè,coi thường; không có gì,not-resolved,,,not-resolved,0
蔓,mán,dùng trong 蔓菁[man2 jing5],not-resolved,,,not-resolved,0
蔚,Yù,họ [Yu4]; tên địa danh,resolved,艸,Bộ Thảo,record-radical,24
蔬,shū,rau,resolved,艸,Bộ Thảo,record-radical,24
蔼,ǎi,thân thiện,resolved,艸,Bộ Thảo,record-radical,24
蔽,bì,che; phủ,resolved,艸,Bộ Thảo,record-radical,24
蕉,jiāo,chuối,resolved,艸,Bộ Thảo,record-radical,24
蕴,yùn,tích lũy; chứa đựng,resolved,艸,Bộ Thảo,record-radical,24
蕾,lěi,nụ,resolved,艸,Bộ Thảo,record-radical,24
薄,báo,mỏng,resolved,艸,Bộ Thảo,record-radical,24
薪,xīn,củi; nhiên liệu; lương,resolved,艸,Bộ Thảo,record-radical,24
薯,shǔ,khoai tây; khoai,resolved,艸,Bộ Thảo,record-radical,24
藉,jiè,"Mượn, dựa vào; đệm, lót",not-resolved,,,not-resolved,0
藏,cáng,cất trữ,resolved,艸,Bộ Thảo,record-radical,24
藐,miǎo,coi thường; nhỏ,not-resolved,,,not-resolved,0
藤,téng,"cây leo, dây leo",resolved,艸,Bộ Thảo,record-radical,24
藻,zǎo,cỏ thủy sinh; tao nhã,resolved,艸,Bộ Thảo,record-radical,24
蘑,mó,nấm,resolved,艸,Bộ Thảo,record-radical,24
蘸,zhàn,nhúng,not-resolved,,,not-resolved,0
虍,xū,"Vằn con hổ, vằn con vện",resolved,虍,Bộ Hô,self-radical,1
虎,hǔ,con hổ; LT:隻|只[zhi1],resolved,虍,Bộ Hô,record-radical,1
虏,lǔ,tù binh; bắt giữ,resolved,力,Bộ Lực,record-radical,21
虐,nüè,hà khắc; bạo ngược,not-resolved,,,not-resolved,0
虑,lǜ,suy nghĩ cân nhắc; xem xét,resolved,心,Bộ Tâm,record-radical,24
虔,qián,hành động một cách tôn kính; tôn kính,not-resolved,,,not-resolved,0
虚,xū,yếu đuối,not-resolved,,,not-resolved,0
虫,chóng,biến thể của 蟲|虫[chong2],resolved,虫,Bộ Trùng,self-radical,22
虹,hóng,cầu vồng,resolved,虫,Bộ Trùng,record-radical,22
虽,suī,mặc dù,resolved,口,Bộ Khẩu,record-radical,24
虾,xiā,tôm,resolved,虫,Bộ Trùng,record-radical,22
蚀,shí,gặm nhấm; phá hủy,not-resolved,,,not-resolved,0
蚊,wén,con muỗi,resolved,虫,Bộ Trùng,record-radical,22
蛇,shé,rắn,resolved,虫,Bộ Trùng,record-radical,22
蛋,dàn,trứng,resolved,虫,Bộ Trùng,record-radical,22
蛙,wā,con ếch; LT:隻|只[zhi1],resolved,虫,Bộ Trùng,record-radical,22
蛛,zhū,nhện,resolved,虫,Bộ Trùng,record-radical,22
蛮,mán,rất,not-resolved,,,not-resolved,0
蛰,zhē,"Ngủ đông, ẩn mình (động vật)",resolved,虫,Bộ Trùng,record-radical,22
蜂,fēng,ong,resolved,虫,Bộ Trùng,record-radical,22
蜃,shèn,con trai khổng lồ; (thần thoại) quái vật trai được cho là thở ra hơi nước tạo thành ảo ảnh các tòa nhà,resolved,虫,Bộ Trùng,record-radical,22
蜗,wō,ốc sên; phát âm ở Đài Loan [gua1],resolved,虫,Bộ Trùng,record-radical,22
蜘,zhī,xem 蜘蛛[zhi1 zhu1],resolved,虫,Bộ Trùng,record-radical,22
蜜,mì,"mật ong, ngọt ngào",resolved,虫,Bộ Trùng,record-radical,22
蜡,là,"sáp, nến",resolved,虫,Bộ Trùng,record-radical,22
蝇,yíng,ruồi; chòm sao Con Ruồi,not-resolved,,,not-resolved,0
蝴,hú,dùng trong 蝴蝶[hu2 die2],resolved,虫,Bộ Trùng,record-radical,22
蝶,dié,biến thể của 蝶[die2],resolved,虫,Bộ Trùng,record-radical,22
螃,páng,dùng trong 螃蟹[pang2 xie4],resolved,虫,Bộ Trùng,record-radical,22
融,róng,tuần hoàn,resolved,鬲,Bộ Cách,record-radical,1
螺,luó,vỏ ốc; ốc sên,resolved,虫,Bộ Trùng,record-radical,22
蟀,shuài,dùng trong 蟋蟀[xi1 shuai4],resolved,虫,Bộ Trùng,record-radical,22
蟋,xī,dùng trong 蟋蟀[xi1 shuai4],resolved,虫,Bộ Trùng,record-radical,22
蟹,xiè,cua,resolved,虫,Bộ Trùng,record-radical,22
蠢,chǔn,ngu ngốc,resolved,虫,Bộ Trùng,record-radical,22
血,xuè,máu,resolved,血,Bộ Huyết,self-radical,1
衅,xìn,cãi nhau; tranh chấp,resolved,血,Bộ Huyết,record-radical,1
行,xíng,được,resolved,行,Bộ Hành,self-radical,2
衍,yǎn,lan rộng; phát triển,not-resolved,,,not-resolved,0
衔,xián,biến thể của 銜|衔[xian2],resolved,金,Bộ Kim,record-radical,24
街,jiē,đường phố,resolved,行,Bộ Hành,record-radical,2
衡,héng,cân; nặng,not-resolved,,,not-resolved,0
衣,yī,quần áo; Lượng từ: 件[jian4],resolved,衣,Bộ Y,self-radical,22
衤,yī,áo.,resolved,衣,Bộ Y,radical-variant,22
补,bǔ,"sửa chữa, bổ sung",resolved,衣,Bộ Y,record-radical,22
表,biǎo,biểu mẫu,resolved,毛,Bộ Mao,record-radical,3
衫,shān,áo; khoác với đường xẻ ở vị trí tay áo,resolved,衣,Bộ Y,record-radical,22
衬,chèn,(của quần áo) sát da; lót,resolved,衣,Bộ Y,record-radical,22
衰,cuī,biến thể của 縗|缞[cui1],not-resolved,,,not-resolved,0
衷,zhōng,tâm tư tình cảm,not-resolved,,,not-resolved,0
袅,niǎo,mỏng manh; duyên dáng,resolved,衣,Bộ Y,record-radical,22
袋,dài,túi,resolved,衣,Bộ Y,record-radical,22
袍,páo,"áo choàng, áo bào",not-resolved,,,not-resolved,0
袖,xiù,tay áo; giấu vào trong tay áo,resolved,衣,Bộ Y,record-radical,22
袜,wà,tất; vớ,resolved,衣,Bộ Y,record-radical,22
被,bèi,bởi,resolved,衣,Bộ Y,record-radical,22
袭,xí,"Tập kích, tấn công bất ngờ; tập nhiễm, lan tràn; thừa hưởng",not-resolved,,,not-resolved,0
袱,fú,(dạng kết hợp) tấm vải dùng để gói hoặc phủ,not-resolved,,,not-resolved,0
裁,cái,cắt may,not-resolved,,,not-resolved,0
裂,liè,xé toạc,resolved,衣,Bộ Y,record-radical,22
装,zhuāng,trang điểm,resolved,衣,Bộ Y,record-radical,22
裔,yì,hậu duệ; biên cương,not-resolved,,,not-resolved,0
裕,yù,dồi dào,resolved,衣,Bộ Y,record-radical,22
裘,Qiú,họ [Qiu2],resolved,衣,Bộ Y,record-radical,22
裙,qún,biến thể cũ của 裙[qun2],resolved,衣,Bộ Y,record-radical,22
裤,kù,biến thể của 褲|裤[ku4],resolved,衣,Bộ Y,record-radical,22
裳,cháng,quần áo phía dưới; váy,resolved,衣,Bộ Y,record-radical,22
裸,luǒ,trần truồng,resolved,衣,Bộ Y,record-radical,22
裹,guǒ,bọc,resolved,衣,Bộ Y,record-radical,22
褐,hè,màu nâu; màu xám hoặc màu tối,resolved,衣,Bộ Y,record-radical,22
褓,bǎo,biến thể của 褓[bao3],not-resolved,,,not-resolved,0
褪,tuì,cởi (quần áo); rụng lông,not-resolved,,,not-resolved,0
襁,qiǎng,xâu tiền đồng; biến thể của 襁[qiang3],resolved,衣,Bộ Y,record-radical,22
襾,yà,"Che đậy, úp lên",resolved,襾,Bộ Á,self-radical,1
西,xī,tây,not-resolved,,,not-resolved,0
要,yào,nếu,not-resolved,,,not-resolved,0
覆,fù,che phủ; tràn ra,resolved,襾,Bộ Á,record-radical,1
見,,"Thấy, mắt trông thấy",resolved,見,Bộ Kiến,self-radical,0
见,jiàn,gặp,resolved,目,Bộ Mục,record-radical,24
观,Guàn,họ [Guan4],not-resolved,,,not-resolved,0
规,guī,biến thể của 規|规[gui1],not-resolved,,,not-resolved,0
觅,mì,(văn học) tìm kiếm; tìm thấy,not-resolved,,,not-resolved,0
视,shì,biến thể của 視|视[shi4]; biến thể của 示[shi4],not-resolved,,,not-resolved,0
览,lǎn,nhìn; xem,not-resolved,,,not-resolved,0
觉,jiào,giấc ngủ,not-resolved,,,not-resolved,0
觑,qù,"Liếc, nhìn trộm; nhìn kỹ, xem xét",not-resolved,,,not-resolved,0
角,jiǎo,góc,resolved,角,"Bộ Giác, Giốc",self-radical,2
解,jiě,"giải thích, hiểu",resolved,角,"Bộ Giác, Giốc",record-radical,2
触,chù,chạm; tiếp xúc với cái gì,resolved,角,"Bộ Giác, Giốc",record-radical,2
言,yán,từ; ngôn từ,resolved,言,Bộ Ngôn,self-radical,24
誉,yù,khen ngợi; tán dương,not-resolved,,,not-resolved,0
誓,shì,lời thề; lời hứa,resolved,言,Bộ Ngôn,record-radical,24
警,jǐng,báo động; cảnh báo,resolved,言,Bộ Ngôn,record-radical,24
譬,pì,đưa ra ví dụ,resolved,言,Bộ Ngôn,record-radical,24
讠,yán,"Lời nói, ngôn ngữ.",resolved,言,Bộ Ngôn,radical-variant,24
计,jì,tính toán,resolved,言,Bộ Ngôn,record-radical,24
订,dìng,"đặt, đặt hàng",resolved,言,Bộ Ngôn,record-radical,24
认,rèn,nhận ra; biết,resolved,言,Bộ Ngôn,record-radical,24
讥,jī,chế nhạo,resolved,言,Bộ Ngôn,record-radical,24
讨,tǎo,hỏi xin,resolved,言,Bộ Ngôn,record-radical,24
让,ràng,cho phép,resolved,言,Bộ Ngôn,record-radical,24
训,xùn,giáo huấn,resolved,言,Bộ Ngôn,record-radical,24
议,yì,thảo luận,resolved,言,Bộ Ngôn,record-radical,24
讯,xùn,hỏi; hỏi thăm,resolved,言,Bộ Ngôn,record-radical,24
记,jì,ghi lại,resolved,言,Bộ Ngôn,record-radical,24
讲,jiǎng,"nói, kể",resolved,言,Bộ Ngôn,record-radical,24
讳,huì,tránh nhắc đến; từ cấm kỵ,resolved,言,Bộ Ngôn,record-radical,24
讶,yà,kinh ngạc,resolved,言,Bộ Ngôn,record-radical,24
许,xǔ,cho phép,resolved,言,Bộ Ngôn,record-radical,24
讹,é,lỗi; sai,resolved,言,Bộ Ngôn,record-radical,24
论,Lún,"viết tắt của 論語|论语[Lun2 yu3], Luận Ngữ (của Khổng Tử)",resolved,言,Bộ Ngôn,record-radical,24
讼,sòng,kiện tụng,resolved,言,Bộ Ngôn,record-radical,24
讽,fěng,châm biếm; chế nhạo,resolved,言,Bộ Ngôn,record-radical,24
设,shè,thiết lập,resolved,言,Bộ Ngôn,record-radical,24
访,fǎng,(dạng kết hợp) thăm; đến thăm,resolved,言,Bộ Ngôn,record-radical,24
诀,jué,từ biệt; biết quyết mẹo nghề,not-resolved,,,not-resolved,0
证,zhèng,chứng chỉ,resolved,言,Bộ Ngôn,record-radical,24
评,píng,đánh giá,resolved,言,Bộ Ngôn,record-radical,24
识,shí,nhận biết,resolved,言,Bộ Ngôn,record-radical,24
诈,zhà,lừa dối; lừa gạt,resolved,言,Bộ Ngôn,record-radical,24
诉,sù,biến thể của 訴|诉[su4],resolved,言,Bộ Ngôn,record-radical,24
诊,zhěn,khám hoặc chữa trị y tế,resolved,言,Bộ Ngôn,record-radical,24
词,cí,từ,resolved,言,Bộ Ngôn,record-radical,24
译,yì,dịch,resolved,言,Bộ Ngôn,record-radical,24
试,shì,thử,resolved,言,Bộ Ngôn,record-radical,24
诗,shī,"bài thơ, thơ ca",resolved,言,Bộ Ngôn,record-radical,24
诚,chéng,(hình thức bó buộc) chân thành; xác thực; (văn học) thật sự; quả thật,resolved,言,Bộ Ngôn,record-radical,24
话,huà,câu nói,resolved,言,Bộ Ngôn,record-radical,24
诞,dàn,sinh; sinh nhật,resolved,言,Bộ Ngôn,record-radical,24
询,xún,hỏi về; tìm hiểu về,resolved,言,Bộ Ngôn,record-radical,24
该,gāi,nên,resolved,言,Bộ Ngôn,record-radical,24
详,xiáng,chi tiết; toàn diện,resolved,言,Bộ Ngôn,record-radical,24
诧,chà,ngạc nhiên; kinh ngạc,resolved,言,Bộ Ngôn,record-radical,24
诫,jiè,điều răn; cấm,not-resolved,,,not-resolved,0
语,yǔ,phương ngữ; ngôn ngữ,resolved,言,Bộ Ngôn,record-radical,24
误,wù,sai lầm,resolved,言,Bộ Ngôn,record-radical,24
诱,yòu,(văn học) dụ dỗ; lôi kéo,not-resolved,,,not-resolved,0
说,shuō,nói,resolved,言,Bộ Ngôn,record-radical,24
诵,sòng,đọc to; đọc thuộc lòng,resolved,言,Bộ Ngôn,record-radical,24
请,qǐng,mời,resolved,言,Bộ Ngôn,record-radical,24
诸,Zhū,họ [Zhu1],resolved,言,Bộ Ngôn,record-radical,24
诺,nuò,đồng ý; hứa,resolved,言,Bộ Ngôn,record-radical,24
读,dú,đọc,resolved,言,Bộ Ngôn,record-radical,24
诽,fěi,vu khống,resolved,言,Bộ Ngôn,record-radical,24
课,kè,bài học,resolved,言,Bộ Ngôn,record-radical,24
谁,shéi,ai,resolved,言,Bộ Ngôn,record-radical,24
调,diào,điều chỉnh,resolved,言,Bộ Ngôn,record-radical,24
谅,liàng,thể hiện sự thông cảm; tha thứ,resolved,言,Bộ Ngôn,record-radical,24
谆,zhūn,lặp đi lặp lại (khi khuyên nhủ); chân thành,not-resolved,,,not-resolved,0
谈,tán,"nói chuyện, tán gẫu",resolved,言,Bộ Ngôn,record-radical,24
谊,yì,tình bạn; cũng đọc là [yi2],not-resolved,,,not-resolved,0
谋,móu,lên kế hoạch; tìm kiếm,resolved,言,Bộ Ngôn,record-radical,24
谍,dié,do thám,resolved,言,Bộ Ngôn,record-radical,24
谎,huǎng,lời nói dối; nói dối,resolved,言,Bộ Ngôn,record-radical,24
谐,xié,(hình thức kết hợp) hòa hợp; (hình thức kết hợp) hài hước,resolved,言,Bộ Ngôn,record-radical,24
谓,Wèi,họ [Wei4],resolved,言,Bộ Ngôn,record-radical,24
谜,mí,câu đố,not-resolved,,,not-resolved,0
谢,Xiè,họ [Xie4],resolved,言,Bộ Ngôn,record-radical,24
谣,yáo,ballad phổ biến; tin đồn,resolved,言,Bộ Ngôn,record-radical,24
谤,bàng,phỉ báng; bôi nhọ,resolved,言,Bộ Ngôn,record-radical,24
谦,qiān,khiêm tốn,resolved,言,Bộ Ngôn,record-radical,24
谨,jǐn,cẩn thận; tỉ mỉ,resolved,言,Bộ Ngôn,record-radical,24
谬,miù,lừa dối; nhầm lẫn,resolved,言,Bộ Ngôn,record-radical,24
谱,pǔ,nốt nhạc,resolved,言,Bộ Ngôn,record-radical,24
谴,qiǎn,khiển trách; phê bình,resolved,言,Bộ Ngôn,record-radical,24
谷,gǔ,ngũ cốc; bắp,resolved,谷,Bộ Cốc,self-radical,1
豁,huō,mở rộng,resolved,谷,Bộ Cốc,record-radical,1
豆,dòu,cây họ đậu; đậu hạt,resolved,豆,Bộ Đậu,self-radical,1
豕,shǐ,Con lợn,resolved,豕,Bộ Thỉ,self-radical,1
象,xiàng,voi; LT:隻|只[zhi1],not-resolved,,,not-resolved,0
豪,háo,hùng vĩ; anh hùng,resolved,豕,Bộ Thỉ,record-radical,1
豫,Yù,viết tắt của tỉnh Hà Nam 河南 ở Trung Quốc miền trung,not-resolved,,,not-resolved,0
豸,zhì,"Loài bò sát, loài sâu không có chân gọi là ""trĩ"" 豸, sâu có chân gọi là ""trùng"" 虫",resolved,豸,Bộ Trĩ,self-radical,2
豹,bào,báo,resolved,豸,Bộ Trĩ,record-radical,2
豺,chái,động vật giống chó; quái thú tham lam,resolved,豸,Bộ Trĩ,record-radical,2
貌,mào,diện mạo,not-resolved,,,not-resolved,0
貝,bèi,"Tiền bạc, của cải, vật quý.",resolved,貝,Bộ Bối,self-radical,24
贝,Bèi,họ [Bei4],resolved,貝,Bộ Bối,radical-variant,24
贞,zhēn,trinh tiết,not-resolved,,,not-resolved,0
负,fù,chịu trách nhiệm,resolved,人,Bộ Nhân,record-radical,24
贡,Gòng,họ [Gong4],resolved,貝,Bộ Bối,record-radical,24
财,cái,tiền; tài sản,resolved,貝,Bộ Bối,record-radical,24
责,zé,bổn phận; trách nhiệm,resolved,貝,Bộ Bối,record-radical,24
贤,xián,người tài đức; cách xưng tôn trọng với người cùng thế hệ hoặc nhỏ hơn,resolved,貝,Bộ Bối,record-radical,24
败,bài,thất bại,resolved,攴,Bộ Phộc,record-radical,22
账,zhàng,tài khoản,resolved,貝,Bộ Bối,record-radical,24
货,huò,hàng hóa,resolved,貝,Bộ Bối,record-radical,24
质,zhì,tính cách; bản chất,resolved,斤,Bộ Cân,record-radical,6
贩,fàn,kinh doanh; mua bán,resolved,貝,Bộ Bối,record-radical,24
贪,tān,tham lam,resolved,貝,Bộ Bối,record-radical,24
贫,pín,"Nghèo, nghèo khó",not-resolved,,,not-resolved,0
贬,biǎn,"Giáng chức; chê bai, hạ thấp; giảm giá",not-resolved,,,not-resolved,0
购,gòu,mua,resolved,貝,Bộ Bối,record-radical,24
贮,zhù,lưu trữ; tích trữ,not-resolved,,,not-resolved,0
贯,guàn,xuyên qua; đi qua,resolved,貝,Bộ Bối,record-radical,24
贱,jiàn,rẻ tiền,not-resolved,,,not-resolved,0
贴,tiē,dán,resolved,貝,Bộ Bối,record-radical,24
贵,guì,đắt,not-resolved,,,not-resolved,0
贷,dài,cho vay lấy lãi; vay,resolved,貝,Bộ Bối,record-radical,24
贸,mào,thương mại; mậu dịch,resolved,貝,Bộ Bối,record-radical,24
费,fèi,phí,resolved,貝,Bộ Bối,record-radical,24
贺,Hè,họ [He4],resolved,貝,Bộ Bối,record-radical,24
贼,zéi,kẻ trộm,not-resolved,,,not-resolved,0
贾,Jiǎ,họ [Jia3],resolved,貝,Bộ Bối,record-radical,24
贿,huì,(dạng kết hợp) hối lộ,not-resolved,,,not-resolved,0
赁,lìn,thuê,not-resolved,,,not-resolved,0
赂,lù,,resolved,貝,Bộ Bối,record-radical,24
赃,zāng,hàng ăn cắp; đồ cướp được,resolved,貝,Bộ Bối,record-radical,24
资,zī,tài nguyên; vốn,resolved,貝,Bộ Bối,record-radical,24
赋,fù,bài thơ phú; sự đánh thuế,not-resolved,,,not-resolved,0
赌,dǔ,đánh bạc,resolved,貝,Bộ Bối,record-radical,24
赎,shú,chuộc lại,not-resolved,,,not-resolved,0
赏,shǎng,thưởng thức,resolved,貝,Bộ Bối,record-radical,24
赐,cì,ban cho,resolved,貝,Bộ Bối,record-radical,24
赔,péi,bị lỗ,resolved,貝,Bộ Bối,record-radical,24
赖,lài,đổ lỗi,resolved,貝,Bộ Bối,record-radical,24
赚,zhuàn,kiếm lợi,resolved,貝,Bộ Bối,record-radical,24
赛,sài,thi đấu; trận đấu,resolved,貝,Bộ Bối,record-radical,24
赞,zàn,biến thể của 讚|赞[zan4],resolved,貝,Bộ Bối,record-radical,24
赠,zèng,tặng; đẩy lùi,resolved,貝,Bộ Bối,record-radical,24
赡,shàn,chu cấp; cung cấp cho,resolved,貝,Bộ Bối,record-radical,24
赢,yíng,thắng,resolved,貝,Bộ Bối,record-radical,24
赤,chì,đỏ; đỏ thẫm,resolved,赤,Bộ Xích,self-radical,0
赫,Hè,họ [He4],not-resolved,,,not-resolved,0
走,zǒu,đi bộ,resolved,走,Bộ Tẩu,self-radical,9
赴,fù,đi,resolved,走,Bộ Tẩu,record-radical,9
赶,gǎn,"vội vàng, lái xe, đuổi kịp",resolved,走,Bộ Tẩu,record-radical,9
起,qǐ,bắt đầu,resolved,走,Bộ Tẩu,record-radical,9
趁,chèn,tận dụng,resolved,走,Bộ Tẩu,record-radical,9
超,chāo,vượt quá,resolved,走,Bộ Tẩu,record-radical,9
越,yuè,vượt quá,resolved,走,Bộ Tẩu,record-radical,9
趋,qū,"Chạy, đi nhanh; hướng về, theo",resolved,走,Bộ Tẩu,record-radical,9
趟,tàng,chuyến,resolved,走,Bộ Tẩu,record-radical,9
趣,qù,thú vị; làm cho quan tâm,resolved,走,Bộ Tẩu,record-radical,9
足,zú,chân,resolved,足,Bộ Túc,self-radical,24
趴,pā,nằm sấp,resolved,足,Bộ Túc,record-radical,24
趿,tā,xem 趿拉[ta1 la5],resolved,足,Bộ Túc,record-radical,24
跃,yuè,nhảy; bật,resolved,足,Bộ Túc,record-radical,24
跌,diē,ngã,not-resolved,,,not-resolved,0
跑,pǎo,chạy,resolved,足,Bộ Túc,record-radical,24
跚,shān,dùng trong 蹣跚|蹒跚[pan2 shan1],resolved,足,Bộ Túc,record-radical,24
距,jù,cách,resolved,足,Bộ Túc,record-radical,24
跟,gēn,với; theo,resolved,足,Bộ Túc,record-radical,24
跤,jiāo,ngã nhào; té ngã,resolved,足,Bộ Túc,record-radical,24
跨,kuà,bước qua,resolved,足,Bộ Túc,record-radical,24
跪,guì,quỳ xuống,resolved,足,Bộ Túc,record-radical,24
路,lù,đường,resolved,足,Bộ Túc,record-radical,24
跳,tiào,nhảy,resolved,足,Bộ Túc,record-radical,24
践,jiàn,thực hiện (lời hứa); dẫm lên,resolved,足,Bộ Túc,record-radical,24
跻,jī,(văn học) lên; trèo,resolved,足,Bộ Túc,record-radical,24
踊,yǒng,nhảy,resolved,足,Bộ Túc,record-radical,24
踌,chóu,đi tới lui; do dự,resolved,足,Bộ Túc,record-radical,24
踏,tà,dẫm lên,resolved,足,Bộ Túc,record-radical,24
踟,chí,chần chừ; không quyết định,resolved,足,Bộ Túc,record-radical,24
踢,tī,đá,resolved,足,Bộ Túc,record-radical,24
踩,cǎi,giẫm,resolved,足,Bộ Túc,record-radical,24
踪,zōng,biến thể của 蹤|踪[zong1],resolved,足,Bộ Túc,record-radical,24
踹,chuài,đá,resolved,足,Bộ Túc,record-radical,24
蹄,tí,móng; chân giò lợn,resolved,足,Bộ Túc,record-radical,24
蹈,dǎo,đạp lên; giẫm,resolved,足,Bộ Túc,record-radical,24
蹋,tà,dẫm lên,resolved,足,Bộ Túc,record-radical,24
蹒,pán,dùng trong 蹣跚|蹒跚[pan2 shan1]; cách phát âm ở Đài Loan [man2],resolved,足,Bộ Túc,record-radical,24
蹦,bèng,"nhảy, nhảy lò cò",resolved,足,Bộ Túc,record-radical,24
蹬,dēng,đạp,resolved,足,Bộ Túc,record-radical,24
蹭,cèng,xin xỏ,resolved,足,Bộ Túc,record-radical,24
蹰,chú,do dự; không quyết định,resolved,足,Bộ Túc,record-radical,24
蹲,dūn,ngồi xổm,resolved,足,Bộ Túc,record-radical,24
躁,zào,nóng nảy; dễ cáu,resolved,足,Bộ Túc,record-radical,24
躇,chú,do dự,resolved,足,Bộ Túc,record-radical,24
身,shēn,cơ thể; cuộc đời,resolved,身,Bộ Thân,self-radical,3
躬,gōng,"cơ thể (con người, đặc biệt là phần thân); cúi (người)",not-resolved,,,not-resolved,0
躯,qū,cơ thể con người,resolved,身,Bộ Thân,record-radical,3
躲,duǒ,trốn; tránh né,resolved,身,Bộ Thân,record-radical,3
躺,tǎng,nằm,resolved,身,Bộ Thân,record-radical,3
車,chē,chiếc xe.,resolved,車,Bộ Xa,self-radical,19
车,chē,xe,resolved,車,Bộ Xa,radical-variant,19
轨,guǐ,(hình vị hạn chế) đường ray; đường chạy,resolved,車,Bộ Xa,record-radical,19
转,zhuǎn,xoay quanh,resolved,車,Bộ Xa,record-radical,19
轮,lún,bánh xe,resolved,車,Bộ Xa,record-radical,19
软,ruǎn,mềm mại,resolved,車,Bộ Xa,record-radical,19
轰,hōng,đuổi đi,not-resolved,,,not-resolved,0
轴,zhóu,trục; trục quay,resolved,車,Bộ Xa,record-radical,19
轻,qīng,nhẹ,resolved,車,Bộ Xa,record-radical,19
载,zài,chở,resolved,車,Bộ Xa,record-radical,19
轿,jiào,kiệu kiên; kiệu,not-resolved,,,not-resolved,0
较,jiào,tương đối; so sánh,resolved,車,Bộ Xa,record-radical,19
辅,fǔ,hỗ trợ; bổ sung,resolved,車,Bộ Xa,record-radical,19
辆,liàng,chiếc,resolved,車,Bộ Xa,record-radical,19
辈,bèi,cuộc đời; thế hệ,resolved,車,Bộ Xa,record-radical,19
辉,huī,rực rỡ; chiếu sáng,not-resolved,,,not-resolved,0
辐,fú,nan hoa của bánh xe,resolved,車,Bộ Xa,record-radical,19
辑,jí,thu thập; sưu tầm,resolved,車,Bộ Xa,record-radical,19
输,shū,thua,resolved,車,Bộ Xa,record-radical,19
辕,yuán,cán xe; nghê môn,resolved,車,Bộ Xa,record-radical,19
辖,xiá,chốt giữ bánh xe (dùng để gắn bánh xe vào trục); (dạng kết hợp) quản lý; có thẩm quyền quản lý,resolved,車,Bộ Xa,record-radical,19
