char,tier,pinyin,meaningVi,missing,source
观,C,Guàn,họ [Guan4],bộ thủ,chars/89C2.json
觃,C,yàn,(dùng trong tên địa danh),"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/89C3.json
规,C,guī,biến thể của 規|规[gui1],"bộ thủ, Hán Việt",chars/89C4.json
觅,C,mì,(văn học) tìm kiếm; tìm thấy,"bộ thủ, Hán Việt",chars/89C5.json
视,C,shì,biến thể của 視|视[shi4]; biến thể của 示[shi4],"bộ thủ, Hán Việt",chars/89C6.json
觇,C,chān,quan sát; theo dõi,"bộ thủ, câu liên quan, Hán Việt",chars/89C7.json
览,C,lǎn,nhìn; xem,bộ thủ,chars/89C8.json
觉,C,jiào,giấc ngủ,bộ thủ,chars/89C9.json
觊,C,jì,thèm muốn; khao khát,"bộ thủ, câu liên quan, Hán Việt",chars/89CA.json
觋,C,xí,pháp sư,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/89CB.json
觌,C,dí,mặt đối mặt,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/89CC.json
觍,C,tiǎn,đáng xấu hổ; không biết xấu hổ,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/89CD.json
觎,C,yú,khao khát mãnh liệt,"bộ thủ, câu liên quan, Hán Việt",chars/89CE.json
觏,C,gòu,hoàn thành; gặp bất ngờ,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/89CF.json
觐,C,jìn,(lịch sử) yết kiến Hoàng đế,"bộ thủ, câu liên quan, Hán Việt",chars/89D0.json
觑,C,qù,"Liếc, nhìn trộm; nhìn kỹ, xem xét","bộ thủ, Hán Việt",chars/89D1.json
觔,C,jīn,biến thể của 筋[jin1]; biến thể của 斤[jin1],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/89D4.json
觖,B,jué,không hài lòng,"từ liên quan, câu liên quan, Hán Việt",chars/89D6.json
觚,B,gū,cái cốc; quy tắc,"câu liên quan, Hán Việt",chars/89DA.json
觜,B,zī,"chòm sao số 20 trong Nhị thập bát tú 二十八宿, xấp xỉ chòm Lạp Hộ 獵戶座|猎户座","từ liên quan, câu liên quan, Hán Việt",chars/89DC.json
觝,C,dǐ,húc; chống cự,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/89DD.json
觞,B,shāng,yến tiệc; cốc,"câu liên quan, Hán Việt",chars/89DE.json
觡,C,gé,sừng; gạc,"bộ thủ, từ liên quan, câu liên quan",chars/89E1.json
觥,B,gōng,to; ly lớn làm từ sừng,"câu liên quan, Hán Việt",chars/89E5.json
觧,C,jiě,biến thể của 解[jie3],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/89E7.json
觩,C,qiú,cong lên; căng,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/89E9.json
觫,B,sù,dùng trong 觳觫[hu2 su4],"từ liên quan, câu liên quan, Hán Việt",chars/89EB.json
觭,C,jī,lẻ; một sừng lên và một sừng xuống,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/89ED.json
觯,B,zhì,ly có chân,"từ liên quan, câu liên quan, Hán Việt",chars/89EF.json
觱,B,bì,sốt; sừng Tartar,"từ liên quan, câu liên quan, Hán Việt",chars/89F1.json
觳,B,hú,đồ đo lường cổ (giống như 斛); sợ hãi,"từ liên quan, câu liên quan, Hán Việt",chars/89F3.json
觵,C,gōng,biến thể cũ của 觥[gong1],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/89F5.json
觷,C,xué,mài sừng,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/89F7.json
觺,C,yí,(sừng động vật) nhọn,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/89FA.json
觼,C,jué,khóa; cài,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/89FC.json
觽,C,xī,"biến thể của 觿, trâm ngà voi dùng để gỡ nút thắt","bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/89FD.json
觾,C,yàn,"biến thể của 燕[yan4], chim én","bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/89FE.json
觿,C,xī,dùi ngà để gỡ nút,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/89FF.json
訄,C,qiú,(văn học) ép buộc ai đó; cưỡng bách ai đó,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/8A04.json
訇,B,Hōng,họ [Hong1],"câu liên quan, Hán Việt",chars/8A07.json
訑,C,yí,kiêu ngạo; độc ác,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/8A11.json
訚,B,Yín,họ [Yin2],"từ liên quan, câu liên quan, Hán Việt",chars/8A1A.json
訧,C,yóu,lỗi; lầm,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/8A27.json
訬,C,chāo,ồn ào; náo động,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/8A2C.json
訳,C,yì,biến thể Nhật Bản của 譯|译[yi4],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/8A33.json
訹,C,xù,lừa phỉnh bằng chuyện bịa đặt,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/8A39.json
訾,B,Zī,họ [Zi1],"từ liên quan, câu liên quan, Hán Việt",chars/8A3E.json
詅,C,líng,bán,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/8A45.json
詈,C,lì,chửi; mắng,"bộ thủ, câu liên quan, Hán Việt",chars/8A48.json
詊,C,pàn,lời nói khéo; làm vui lòng,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/8A4A.json
詑,C,tuó,lừa dối,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/8A51.json
詟,C,zhé,bị sợ hãi,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/8A5F.json
詨,C,jiāo,"một loại ve sầu, cosmopsaltria","bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/8A68.json
詸,C,mí,biến thể của 謎|谜[mi2],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/8A78.json
詹,B,Zhān,họ [Zhan1],"câu liên quan, Hán Việt",chars/8A79.json
詻,C,è,khắc nghiệt; khó gần,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/8A7B.json
誂,C,tiǎo,dụ dỗ,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/8A82.json
誃,C,chǐ,tách rời,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/8A83.json
誉,C,yù,khen ngợi; tán dương,bộ thủ,chars/8A89.json
誊,B,téng,chép lại; sao chép,"câu liên quan, Hán Việt",chars/8A8A.json
誋,C,jì,biến thể của 忌[jì],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/8A8B.json
誙,B,kēng,(cổ) chắc chắn; đúng vậy!,"từ liên quan, câu liên quan, Hán Việt",chars/8A99.json
誧,C,pǔ,to lớn; khuyên răn,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/8AA7.json
読,C,dú,biến thể Nhật Bản của 讀|读[du2],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/8AAD.json
誯,C,chàng,(cổ) biến thể của 唱[chang4],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/8AAF.json
諆,C,qī,lừa dối; gian lận,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/8AC6.json
諌,C,jiàn,biến thể của 諫|谏[jian4],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/8ACC.json
諕,C,háo,hăm doạ,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/8AD5.json
諵,C,nán,lẩm bẩm lặp đi lặp lại,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/8AF5.json
謆,C,shàn,dụ dỗ; phỉnh phờ,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/8B06.json
謇,B,jiǎn,nói thẳng thắn,"từ liên quan, câu liên quan, Hán Việt",chars/8B07.json
謋,C,huò,tiếng thịt bị tách ra khỏi xương,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/8B0B.json
謍,C,yíng,âm thanh ngân nga,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/8B0D.json
謑,C,xì,xấu hổ; nhục nhã,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/8B11.json
謡,C,yáo,biến thể Nhật Bản của 謠|谣,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/8B21.json
謦,B,qì,ho nhẹ,"từ liên quan, câu liên quan, Hán Việt",chars/8B26.json
謪,C,shāng,tham khảo; thảo luận,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/8B2A.json
謷,C,áo,sự vĩ đại; phỉ báng,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/8B37.json
謼,C,hū,hô hào; kêu than,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/8B3C.json
譅,C,sè,nói nhiều; lắm lời,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/8B45.json
譈,C,duì,không thích; ghét,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/8B48.json
譊,C,náo,"tranh cãi, tranh chấp, tranh luận","bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/8B4A.json
譒,C,bò,ban hành; lan truyền,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/8B52.json
譡,C,dǎng,biến thể cũ của 讜|谠[dang3],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/8B61.json
譩,C,yī,"biến thể của 噫, tiếng ừ (thán từ tán thành); ợ","bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/8B69.json
譱,C,shàn,biến thể cổ của 善[shan4],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/8B71.json
譲,C,ràng,biến thể tiếng Nhật của 讓|让,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/8B72.json
譶,C,tà,nói nhanh,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/8B76.json
譹,C,háo,hét; gầm,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/8B79.json
譾,C,jiǎn,biến thể của 謭|谫[jian3],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/8B7E.json
讆,C,wèi,khoa trương; khó tin,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/8B86.json
讇,C,chǎn,nói mớ; biến thể cũ của 諂|谄[chan3],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/8B87.json
讏,C,wèi,biến thể của 讆[wei4],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/8B8F.json
讐,C,chóu,biến thể của 讎|雠[chou2],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/8B90.json
讘,C,niè,(cổ) nói nhiều; nói nhảm,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/8B98.json
讟,C,dú,,"nghĩa, bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/8B9F.json
讠,B,yán,"Lời nói, ngôn ngữ.","từ liên quan, câu liên quan, Hán Việt",chars/8BA0.json
讣,B,fù,báo tang; cáo phó,câu liên quan,chars/8BA3.json
讥,A,jī,chế nhạo,Hán Việt,chars/8BA5.json
讦,C,jié,buộc tội; tò mò tìm hiểu,"bộ thủ, câu liên quan, Hán Việt",chars/8BA6.json
讧,C,hòng,xung đột; mất trật tự,"bộ thủ, câu liên quan, Hán Việt",chars/8BA7.json
讪,B,shàn,chế nhạo; nhạo báng,"câu liên quan, Hán Việt",chars/8BAA.json
讫,B,qì,kết thúc,"câu liên quan, Hán Việt",chars/8BAB.json
讬,C,tuō,biến thể giản thể không chuẩn của 託|托[tuo1],"bộ thủ, từ liên quan, câu liên quan",chars/8BAC.json
讯,A,xùn,hỏi; hỏi thăm,Hán Việt,chars/8BAF.json
讱,C,rèn,(văn học) chậm nói,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/8BB1.json
讴,B,ōu,hát; ballad,"câu liên quan, Hán Việt",chars/8BB4.json
讵,B,jù,sao (thán từ ngạc nhiên),"từ liên quan, câu liên quan, Hán Việt",chars/8BB5.json
讶,A,yà,kinh ngạc,Hán Việt,chars/8BB6.json
讷,B,nè,nói chậm; không lưu loát,câu liên quan,chars/8BB7.json
诀,C,jué,từ biệt; biết quyết mẹo nghề,"bộ thủ, Hán Việt",chars/8BC0.json
诂,B,gǔ,chú thích; giải thích,"câu liên quan, Hán Việt",chars/8BC2.json
诃,B,hē,la mắng,"câu liên quan, Hán Việt",chars/8BC3.json
诅,B,zǔ,nguyền rủa; thề (lời thề),câu liên quan,chars/8BC5.json
识,A,shí,nhận biết,Hán Việt,chars/8BC6.json
诇,C,xiòng,(văn học) do thám; dò xét,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/8BC7.json
诉,A,sù,biến thể của 訴|诉[su4],Hán Việt,chars/8BC9.json
诋,B,dǐ,phỉ báng; vu khống,"câu liên quan, Hán Việt",chars/8BCB.json
诌,B,zhōu,bịa đặt (một câu chuyện); phiên âm Đài Loan [zou1],"câu liên quan, Hán Việt",chars/8BCC.json
词,A,cí,từ,Hán Việt,chars/8BCD.json
诎,B,qū,uốn cong; nhượng bộ,"từ liên quan, câu liên quan, Hán Việt",chars/8BCE.json
诏,C,zhào,(văn học) khiển trách; (dạng cố định) chiếu chỉ hoàng gia,"bộ thủ, câu liên quan",chars/8BCF.json
诐,C,bì,không công bằng; nịnh nọt,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/8BD0.json
诒,B,yí,(cổ) dâng; tặng lại,"từ liên quan, câu liên quan, Hán Việt",chars/8BD2.json
诓,B,kuāng,lừa dối; lừa gạt,"câu liên quan, Hán Việt",chars/8BD3.json
诔,B,lěi,ca ngợi người đã khuất; điếu văn,"từ liên quan, câu liên quan, Hán Việt",chars/8BD4.json
诖,B,guà,lừa dối; quấy rầy,"từ liên quan, câu liên quan, Hán Việt",chars/8BD6.json
诘,B,jié,điều tra; kiềm chế,câu liên quan,chars/8BD8.json
诙,B,huī,kỳ quặc; hài hước,"câu liên quan, Hán Việt",chars/8BD9.json
诛,B,zhū,xử tử (một tội phạm); trừng phạt,câu liên quan,chars/8BDB.json
诜,B,shēn,thông báo; hỏi thăm,"từ liên quan, câu liên quan, Hán Việt",chars/8BDC.json
诞,A,dàn,sinh; sinh nhật,Hán Việt,chars/8BDE.json
诟,B,gòu,ô nhục; chửi bới,"câu liên quan, Hán Việt",chars/8BDF.json
诠,B,quán,giải thích; bình luận,"câu liên quan, Hán Việt",chars/8BE0.json
诡,B,guǐ,(dạng kết hợp) xảo trá; gian xảo; (văn học) kỳ lạ; kỳ quái,"câu liên quan, Hán Việt",chars/8BE1.json
询,A,xún,hỏi về; tìm hiểu về,Hán Việt,chars/8BE2.json
诣,C,yì,đi (thăm người cấp trên); trình độ hiện tại trong học vấn hoặc nghệ thuật,"bộ thủ, Hán Việt",chars/8BE3.json
诤,C,zhèng,khuyên răn; cảnh báo ai về lỗi lầm,"bộ thủ, câu liên quan, Hán Việt",chars/8BE4.json
该,A,gāi,nên,Hán Việt,chars/8BE5.json
诧,A,chà,ngạc nhiên; kinh ngạc,Hán Việt,chars/8BE7.json
诨,B,hùn,lời đùa; tên hiệu,"câu liên quan, Hán Việt",chars/8BE8.json
诩,B,xǔ,khoe khoang; phổ biến,"câu liên quan, Hán Việt",chars/8BE9.json
诪,C,zhōu,(văn học) nguyền rủa; lừa dối,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/8BEA.json
诫,C,jiè,điều răn; cấm,"bộ thủ, Hán Việt",chars/8BEB.json
诬,C,wū,vu cáo,"bộ thủ, câu liên quan",chars/8BEC.json
诮,B,qiào,chế nhạo; đổ lỗi,"câu liên quan, Hán Việt",chars/8BEE.json
误,A,wù,sai lầm,Hán Việt,chars/8BEF.json
诰,C,gào,khẩn dặn; phong tặng (danh hiệu),"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/8BF0.json
诱,C,yòu,(văn học) dụ dỗ; lôi kéo,bộ thủ,chars/8BF1.json
诲,B,huì,dạy; dạy bảo,câu liên quan,chars/8BF2.json
诳,C,kuáng,lừa dối; lừa gạt; sai sự thật; nói dối,"bộ thủ, câu liên quan, Hán Việt",chars/8BF3.json
诶,C,ēi,này (để gọi ai đó),"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/8BF6.json
诹,C,zōu,lựa chọn; tham khảo ý kiến,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/8BF9.json
诼,B,zhuó,phàn nàn,"từ liên quan, câu liên quan, Hán Việt",chars/8BFC.json
诽,A,fěi,vu khống,Hán Việt,chars/8BFD.json
诿,B,wěi,trốn tránh; đổ lỗi,"câu liên quan, Hán Việt",chars/8BFF.json
谀,B,yú,tâng bốc,câu liên quan,chars/8C00.json
谁,A,shéi,ai,Hán Việt,chars/8C01.json
谂,C,shěn,biết; khiển trách,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/8C02.json
谄,B,chǎn,nịnh hót; tâng bốc,câu liên quan,chars/8C04.json
谆,C,zhūn,lặp đi lặp lại (khi khuyên nhủ); chân thành,"bộ thủ, Hán Việt",chars/8C06.json
谇,B,suì,chửi bới,"từ liên quan, câu liên quan, Hán Việt",chars/8C07.json
谉,C,shěn,điều tra; xét xử (trong tòa án),"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/8C09.json
谊,C,yì,tình bạn; cũng đọc là [yi2],"bộ thủ, Hán Việt",chars/8C0A.json
谌,B,Chén,họ [Chen2],"từ liên quan, câu liên quan",chars/8C0C.json
谎,A,huǎng,lời nói dối; nói dối,Hán Việt,chars/8C0E.json
谏,B,Jiàn,họ [Jian4],câu liên quan,chars/8C0F.json
谑,C,xuè,vui đùa; đùa giỡn,"bộ thủ, câu liên quan",chars/8C11.json
谒,B,yè,thăm (bề trên),câu liên quan,chars/8C12.json
谓,A,Wèi,họ [Wei4],Hán Việt,chars/8C13.json
谔,B,è,lời nói thẳng thắn,"từ liên quan, câu liên quan, Hán Việt",chars/8C14.json
谕,B,yù,mệnh lệnh (từ cấp trên),câu liên quan,chars/8C15.json
谖,B,xuān,lừa dối; quên,"từ liên quan, câu liên quan, Hán Việt",chars/8C16.json
谗,B,chán,vu khống; phỉ báng,câu liên quan,chars/8C17.json
谘,C,zī,biến thể của 咨[zi1],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/8C18.json
谙,B,ān,thông thạo; biết rõ,câu liên quan,chars/8C19.json
谚,C,yàn,tục ngữ,"bộ thủ, câu liên quan",chars/8C1A.json
谛,B,dì,xem xét; sự thật (Phật giáo),"câu liên quan, Hán Việt",chars/8C1B.json
谜,C,mí,câu đố,bộ thủ,chars/8C1C.json
谝,B,piǎn,khoe khoang,"từ liên quan, câu liên quan, Hán Việt",chars/8C1D.json
谞,C,xū,(văn học) tài năng và trí tuệ; mưu kế,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/8C1E.json
谟,B,mó,kế hoạch; lên kế hoạch,câu liên quan,chars/8C1F.json
谠,B,dǎng,trung thực; thẳng thắn,"từ liên quan, câu liên quan, Hán Việt",chars/8C20.json
谡,B,sù,điềm tĩnh; đứng dậy,"từ liên quan, câu liên quan, Hán Việt",chars/8C21.json
谥,B,shì,thuỵ hiệu; phong thuỵ hiệu,"từ liên quan, câu liên quan, Hán Việt",chars/8C25.json
谧,B,mì,yên tĩnh,"câu liên quan, Hán Việt",chars/8C27.json
谩,B,mán,lừa dối,"câu liên quan, Hán Việt",chars/8C29.json
谪,B,zhé,giáng chức quan cao xuống vị trí nhỏ ở vùng xa (hình phạt thời Trung Quốc phong kiến); đày hoặc lưu đày,câu liên quan,chars/8C2A.json
谫,B,jiǎn,nông cạn; hời hợt,"từ liên quan, câu liên quan, Hán Việt",chars/8C2B.json
谬,A,miù,lừa dối; nhầm lẫn,Hán Việt,chars/8C2C.json
谭,B,Tán,họ [Tan2],"câu liên quan, Hán Việt",chars/8C2D.json
谮,B,zèn,vu khống,"từ liên quan, câu liên quan, Hán Việt",chars/8C2E.json
谯,B,Qiáo,họ [Qiao2],"câu liên quan, Hán Việt",chars/8C2F.json
谰,B,lán,vu cáo,"câu liên quan, Hán Việt",chars/8C30.json
谲,C,jué,xảo trá,"bộ thủ, câu liên quan",chars/8C32.json
谳,B,yàn,phán quyết tư pháp,"từ liên quan, câu liên quan, Hán Việt",chars/8C33.json
谵,C,zhān,(văn học) nói sảng; nói mê,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/8C35.json
谶,B,chèn,lời tiên tri; điềm báo,"câu liên quan, Hán Việt",chars/8C36.json
谽,C,hān,một cái miệng hoặc khe hở,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/8C3D.json
豁,A,huō,mở rộng,Hán Việt,chars/8C41.json
豅,C,lóng,thung lũng dài và rộng,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/8C45.json
豇,B,jiāng,đậu đũa; đậu trắng,"câu liên quan, Hán Việt",chars/8C47.json
豉,B,chǐ,đậu lên men muối,câu liên quan,chars/8C49.json
豊,C,fēng,biến thể của 豐|丰[feng1],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/8C4A.json
豋,C,dēng,đồ dùng nghi lễ,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/8C4B.json
豌,B,wān,đậu Hà Lan,"câu liên quan, Hán Việt",chars/8C4C.json
豍,C,bī,đậu Hà Lan (Pisum sativum),"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/8C4D.json
豏,C,xiàn,đậu nửa lớn; biến thể của 餡|馅[xian4],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/8C4F.json
豑,C,zhì,biến thể cũ của 秩[zhi4],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/8C51.json
豕,B,shǐ,Con lợn,câu liên quan,chars/8C55.json
豖,C,chù,lợn bị xích,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/8C56.json
豗,C,huī,va chạm; tiếng lợn kêu,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/8C57.json
豚,C,tún,lợn sữa,"bộ thủ, câu liên quan, Hán Việt",chars/8C5A.json
豜,C,jiān,lợn đã trưởng thành; lợn 3 tuổi,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/8C5C.json
豝,C,bā,thịt bò muối; lợn cái,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/8C5D.json
豞,C,hòu,tiếng lợn kêu ủn ỉn,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/8C5E.json
象,C,xiàng,voi; LT:隻|只[zhi1],bộ thủ,chars/8C61.json
豢,B,huàn,nuôi; dưỡng (động vật),"câu liên quan, Hán Việt",chars/8C62.json
豣,C,jiān,biến thể của 豜[jian1],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/8C63.json
豦,B,qú,lợn rừng; chiến đấu,"từ liên quan, câu liên quan, Hán Việt",chars/8C66.json
豨,C,xī,lợn,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/8C68.json
豩,C,bīn,,"nghĩa, bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/8C69.json
豫,C,Yù,viết tắt của tỉnh Hà Nam 河南 ở Trung Quốc miền trung,"bộ thủ, Hán Việt",chars/8C6B.json
豭,C,jiā,lợn đực; heo đực,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/8C6D.json
豮,C,fén,heo bị thiến,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/8C6E.json
豱,B,wēn,lợn đầu ngắn,"từ liên quan, câu liên quan, Hán Việt",chars/8C71.json
豳,B,Bīn,tên một huyện cổ ở Thiểm Tây; biến thể của 彬[bin1],"từ liên quan, câu liên quan, Hán Việt",chars/8C73.json
豵,C,zōng,bầy heo; con heo nhỏ,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/8C75.json
豷,C,yì,hơi thở của heo,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/8C77.json
豸,B,zhì,"Loài bò sát, loài sâu không có chân gọi là ""trĩ"" 豸, sâu có chân gọi là ""trùng"" 虫",câu liên quan,chars/8C78.json
豻,B,àn,nhà giam,"từ liên quan, câu liên quan, Hán Việt",chars/8C7B.json
貂,B,diāo,chồn zibelin hoặc chồn marten (chi Martes),"câu liên quan, Hán Việt",chars/8C82.json
貅,B,xiū,"xem 貔貅[pi2 xiu1], con vật thần thoại tổng hợp (gốc là 貅 chỉ con cái)",câu liên quan,chars/8C85.json
貆,C,huán,con lửng,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/8C86.json
貇,C,kūn,,"nghĩa, bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/8C87.json
貉,B,hé,"chó gấu trúc (Nyctereutes procyonoides); chó gấu trúc Bắc Trung Quốc, Hàn Quốc và Nhật Bản (tiếng Nhật: tanuki)","câu liên quan, Hán Việt",chars/8C89.json
貊,C,mò,tên của một bộ tộc hoang dã; im lặng,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/8C8A.json
貌,C,mào,diện mạo,"bộ thủ, Hán Việt",chars/8C8C.json
貔,B,pí,"xem 貔貅[pi2 xiu1], loài vật thần thoại tổng hợp (nguyên gốc 貔 là giống đực)","câu liên quan, Hán Việt",chars/8C94.json
貘,B,mò,lợn vòi,"từ liên quan, câu liên quan, Hán Việt",chars/8C98.json
貜,C,jué,(vượn),"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/8C9C.json
貤,C,yí,thăng chức; thưởng,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/8CA4.json
賌,C,gāi,biến thể cũ của 賅|赅[gai1],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/8CCC.json
賏,C,yìng,chuỗi ngọc trai hoặc vỏ sò xâu lại với nhau,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/8CCF.json
賝,C,chēn,(ngọc),"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/8CDD.json
賥,C,suì,tiền bạc và tài sản,"bộ thủ, từ liên quan, câu liên quan",chars/8CE5.json
賨,C,cóng,cống nạp của các bộ lạc triều Hán,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/8CE8.json
賮,C,jìn,quà chia tay,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/8CEE.json
賸,C,shèng,còn lại; phồn thể của 剩[sheng4],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/8CF8.json
贉,C,tǎn,trả trước; bìa sách lụa,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/8D09.json
贕,C,dú,gà chết lưu (trong trứng chưa nở); biến thể của 殰|㱩[du2],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/8D15.json
贞,C,zhēn,trinh tiết,bộ thủ,chars/8D1E.json
贠,C,yuán,biến thể cũ của 員|员[yuan2],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/8D20.json
账,A,zhàng,tài khoản,Hán Việt,chars/8D26.json
贩,A,fàn,kinh doanh; mua bán,Hán Việt,chars/8D29.json
贫,C,pín,"Nghèo, nghèo khó",bộ thủ,chars/8D2B.json
贬,C,biǎn,"Giáng chức; chê bai, hạ thấp; giảm giá",bộ thủ,chars/8D2C.json
购,A,gòu,mua,Hán Việt,chars/8D2D.json
贮,C,zhù,lưu trữ; tích trữ,bộ thủ,chars/8D2E.json
贰,C,èr,hai (chữ số phòng chống gian lận của ngân hàng); phản bội,"bộ thủ, câu liên quan",chars/8D30.json
贱,C,jiàn,rẻ tiền,"bộ thủ, câu liên quan",chars/8D31.json
